                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2695,                 8.4137,                 4.1885,                      0,                      0,                      0,                      0,                 5.3043,                 4.5335,                 4.0705,                0.08765,                0.00065,                0.00065
                      2,                 5.1987,                 4.9563,                 3.9114,                      0,                      0,                      0,                      0,                 4.9218,                 4.1991,                 3.6524,                0.07435,              0.0013499,              0.0013499
                      3,                 4.6582,                 4.2826,                 3.4304,                      0,                      0,                      0,                      0,                 4.5964,                 4.0073,                 3.3729,               0.061049,              0.0020495,              0.0020495
                      4,                 4.1012,                 3.9325,                 3.1562,                      0,                      0,                      0,                      0,                 4.4963,                 4.2057,                 3.2858,               0.047748,              0.0027485,              0.0027485
                      5,                 3.8663,                 3.7828,                 2.9425,                      0,                      0,                      0,                      0,                 4.4645,                 4.3336,                 3.2525,               0.034447,              0.0034466,              0.0034466
                      6,                 3.7794,                 3.6795,                 2.8467,                      0,                      0,                      0,                      0,                 4.4595,                 4.4512,                 3.2399,               0.021144,              0.0041437,              0.0041437
                      7,                 3.7007,                  3.585,                 2.7168,                      0,                      0,                      0,                      0,                 4.2587,                 4.3216,                 3.1346,              0.0078393,              0.0048393,              0.0048393
                      8,                 3.5687,                 3.5285,                 2.6271,                0.00273,                 0.1694,                0.00241,                 0.0007,                 3.6046,                 3.7875,                  2.861,              0.0049851,              0.0049851,              0.0049851
                      9,                 3.5046,                 3.4522,                 2.5351,                0.00184,                0.39891,                0.00562,                 0.0011,                 3.4469,                 3.6909,                 2.6962,              0.0049851,              0.0049851,              0.0049851
                     10,                 3.4339,                 3.3159,                   2.56,                0.01739,                0.08743,                0.00627,                0.00158,                 3.3689,                 5.4284,                  2.741,              0.0049805,              0.0049805,              0.0049805
                     11,                 3.4046,                 3.3702,                 2.5517,                0.02068,                0.11475,                0.00977,                 0.0019,                 3.4418,                 4.1356,                 2.6661,              0.0049753,              0.0049753,              0.0049753
                     12,                 3.2917,                 3.3461,                 2.4475,                0.13132,                0.07104,                0.03773,                0.01164,                 3.2327,                 3.7239,                 2.5516,              0.0049695,              0.0049695,              0.0049695
                     13,                 3.2725,                 3.2658,                 2.4061,                0.03303,                0.03825,                0.00536,                0.00109,                 3.7827,                 4.1196,                 2.8506,              0.0049631,              0.0049631,              0.0049631
                     14,                 3.1275,                 3.2153,                 2.3687,                 0.0069,                0.11475,                0.00307,                0.00094,                 3.1748,                 22.492,                 2.5061,              0.0049562,              0.0049562,              0.0049562
                     15,                 3.1335,                 3.1109,                 2.2758,                0.02027,                 0.0929,                 0.0061,                0.00176,                 3.1709,                 9.6455,                 2.7279,              0.0049486,              0.0049486,              0.0049486
                     16,                 3.1678,                 3.0807,                 2.2418,                0.12563,                0.12568,                0.06009,                0.02214,                 3.1056,                 3.5658,                 2.4145,              0.0049404,              0.0049404,              0.0049404
                     17,                 3.0407,                 3.0293,                 2.1761,                0.11253,                0.08197,                0.02476,                0.00621,                  3.303,                 5.2584,                 2.5464,              0.0049316,              0.0049316,              0.0049316
                     18,                 2.9972,                  2.936,                 2.1599,                0.12772,                0.11763,                 0.0624,                0.02327,                 2.9406,                 3.1931,                 2.3002,              0.0049222,              0.0049222,              0.0049222
