epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,51.7106,5.40278,12.2858,4.25245,0.04426,0,0,0,0,5.39698,7.06556,4.15829,0,0.08765,0.00065,0.00065,6.5e-05
2,59.4352,4.89859,10.0761,4.24263,0.04384,0,0,0,0,5.39373,7.09675,4.15597,0,0.0743499,0.00134992,0.00134992,0.000134992
3,65.4844,5.25906,9.50879,4.23326,0.04389,0,0,0,0,5.38924,7.13958,4.15222,0,0.0610495,0.0020495,0.0020495,0.00020495
4,72.2877,5.43925,9.41809,4.22601,0.04379,0,0,0,0,5.38652,7.16019,4.15003,0,0.0477485,0.00274849,0.00274849,0.000274849
5,78.1927,5.20219,8.7493,4.22957,0.04384,0,0,0,0,5.385,7.16503,4.14909,0,0.0344466,0.00344663,0.00344663,0.000344663
6,94.1587,5.15194,8.26147,4.24581,0.04374,0,0,0,0,5.3834,6.70905,4.14729,0,0.0211437,0.00414367,0.00414367,0.000414367
7,105.553,5.28424,8.19045,4.25817,0.04383,0,0,0,0,5.38293,6.6809,4.14522,0,0.00783935,0.00483935,0.00483935,0.000483935
8,117.328,5.1846,7.70208,4.21241,0.04379,0,0,0,0,5.39045,6.74994,4.14388,0,0.00498505,0.00498505,0.00498505,0.000498505
9,128.193,5.31046,7.44198,4.19331,0.04374,0,0,0,0,5.43444,6.55222,4.16692,0,0.00498048,0.00498048,0.00498048,0.000498048
10,135.995,4.96973,6.72817,4.17876,0.04364,0,0,0,0,5.44112,5.44815,4.14631,0,0.00497531,0.00497531,0.00497531,0.000497531
11,145.948,5.19307,6.34612,4.05669,0.04358,0,0,0,0,5.3853,4.35079,4.06694,0,0.00496953,0.00496953,0.00496953,0.000496953
12,155.657,4.70729,5.27126,3.82143,0.04368,0.00046,0.06011,0.00025,6e-05,4.61571,3.92377,3.68076,0,0.00496315,0.00496315,0.00496315,0.000496315
13,163.825,4.13241,4.59003,3.44905,0.04352,0.00031,0.01639,0.00016,3e-05,4.70378,3.94833,3.74146,0,0.00495616,0.00495616,0.00495616,0.000495616
14,174.351,3.81545,4.2887,3.02395,0.04347,0.00182,0.04372,0.00097,0.00019,4.7444,3.94324,3.86133,0,0.00494858,0.00494858,0.00494858,0.000494858
15,183.943,3.7647,3.9981,2.89522,0.04339,0.00156,0.03825,0.00117,0.00032,4.5126,3.96842,3.64701,0,0.00494039,0.00494039,0.00494039,0.000494039
16,192.324,3.68521,3.83665,2.82953,0.04339,0.00318,0.30601,0.00335,0.00088,3.59377,3.71552,3.04984,0,0.00493162,0.00493162,0.00493162,0.000493162
17,201.307,3.60572,3.75293,2.77751,0.04319,0.00207,0.44809,0.00461,0.00102,3.56607,3.5913,2.86699,0,0.00492224,0.00492224,0.00492224,0.000492224
18,208.553,3.54955,3.5978,2.59411,0.04315,0.0019,0.44809,0.00371,0.00088,3.39638,4.59269,2.61879,0,0.00491228,0.00491228,0.00491228,0.000491228
19,216.721,3.47292,3.56915,2.57367,0.04307,0.00171,0.40437,0.00537,0.0009,3.48131,4.49057,2.60633,0,0.00490173,0.00490173,0.00490173,0.000490173
20,222.488,3.39803,3.45725,2.50148,0.04295,0.00221,0.51913,0.00535,0.00154,3.2637,4.05985,2.59466,0,0.00489059,0.00489059,0.00489059,0.000489059
21,228.555,3.37304,3.41911,2.45725,0.04284,0.00063,0.13115,0.00121,0.00022,3.76606,5.71804,2.85392,0,0.00487886,0.00487886,0.00487886,0.000487886
22,234.754,3.33271,3.43866,2.45414,0.04295,0.00079,0.18579,0.00055,0.00015,3.7209,6.66387,2.87326,0,0.00486656,0.00486656,0.00486656,0.000486656
23,240.317,3.36001,3.42573,2.4523,0.04276,0.00549,0.1694,0.00419,0.00116,3.324,5.26177,2.53179,0,0.00485368,0.00485368,0.00485368,0.000485368
24,246.388,3.2606,3.30399,2.39589,0.0427,0.06808,0.0765,0.01627,0.00581,3.19311,3.83101,2.43444,0,0.00484022,0.00484022,0.00484022,0.000484022
25,253.472,3.241,3.3065,2.34011,0.04258,0.07161,0.0765,0.02155,0.00753,3.17835,3.6226,2.42032,0,0.0048262,0.0048262,0.0048262,0.00048262
26,261.188,3.19783,3.22663,2.32287,0.04178,0.11507,0.08197,0.03529,0.01252,3.15599,3.41847,2.39498,0,0.0048116,0.0048116,0.0048116,0.00048116
27,267.783,3.11012,3.19069,2.27997,0.04092,0.08313,0.06011,0.03175,0.01009,3.16788,3.33065,2.41478,0,0.00479644,0.00479644,0.00479644,0.000479644
28,275.233,3.09245,3.11639,2.26508,0.04081,0.08885,0.03837,0.03268,0.00965,3.11043,3.35321,2.38433,0,0.00478072,0.00478072,0.00478072,0.000478072
29,281.099,3.11308,3.14894,2.26531,0.04063,0.10573,0.05464,0.03128,0.00912,3.13312,4.14603,2.44253,0,0.00476445,0.00476445,0.00476445,0.000476445
30,287.164,3.07912,3.1122,2.26118,0.04061,0.15683,0.11283,0.05484,0.01482,3.0696,3.49071,2.37007,0,0.00474762,0.00474762,0.00474762,0.000474762
31,294.329,3.11001,3.1673,2.21276,0.04045,0.11293,0.09836,0.04174,0.01236,3.01339,3.91137,2.34786,0,0.00473024,0.00473024,0.00473024,0.000473024
32,300.377,3.06477,3.07203,2.1797,0.04033,0.12826,0.06011,0.04328,0.01548,2.99191,3.53074,2.33917,0,0.00471232,0.00471232,0.00471232,0.000471232
33,307.181,2.94283,3.01125,2.16136,0.04018,0.13081,0.0765,0.03992,0.01329,3.03423,3.28122,2.30889,0,0.00469386,0.00469386,0.00469386,0.000469386
34,313.71,3.06468,3.04928,2.09168,0.04014,0.20899,0.03825,0.04447,0.01596,2.97155,3.2255,2.3017,0,0.00467486,0.00467486,0.00467486,0.000467486
35,318.804,2.99951,3.0383,2.18276,0.03988,0.19232,0.0765,0.07238,0.02429,2.97311,3.01465,2.3286,0,0.00465534,0.00465534,0.00465534,0.000465534
36,324.172,2.98487,3.04801,2.17462,0.03986,0.23817,0.07104,0.07227,0.02443,3.03292,3.39401,2.37074,0,0.00463528,0.00463528,0.00463528,0.000463528
37,330.69,2.94466,2.96623,2.12795,0.03963,0.17215,0.06557,0.04989,0.01458,3.17793,3.30616,2.47376,0,0.00461471,0.00461471,0.00461471,0.000461471
38,336.702,3.06407,2.96218,2.09192,0.03962,0.16699,0.09836,0.04984,0.01316,3.09589,3.27312,2.29057,0,0.00459362,0.00459362,0.00459362,0.000459362
39,343.827,2.98227,3.01588,2.12855,0.03931,0.17775,0.0765,0.0608,0.01607,2.97243,3.17306,2.24884,0,0.00457202,0.00457202,0.00457202,0.000457202
40,349.846,2.97692,2.9707,2.07375,0.03923,0.14165,0.12022,0.06943,0.01951,2.95093,3.12092,2.22791,0,0.00454992,0.00454992,0.00454992,0.000454992
41,356.273,2.94311,2.98046,2.13529,0.03898,0.16646,0.13115,0.06517,0.02096,2.93284,3.12636,2.26857,0,0.00452732,0.00452732,0.00452732,0.000452732
42,363.503,2.9705,2.98805,2.14706,0.03887,0.19495,0.08197,0.05473,0.02033,2.91804,3.10397,2.25557,0,0.00450422,0.00450422,0.00450422,0.000450422
43,369.364,2.88168,2.96126,2.1171,0.03869,0.21677,0.14208,0.09823,0.03112,2.82306,3.02514,2.2172,0,0.00448063,0.00448063,0.00448063,0.000448063
