epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,23.3579,5.40079,9.7263,4.22075,0.01709,0,0,0,0,5.39708,7.06532,4.15836,0,0.08765,0.00065,0.00065,6.5e-05
2,27.7868,4.8705,8.24358,4.21895,0.0167,0,0,0,0,5.39362,7.09187,4.15496,0,0.0743499,0.00134992,0.00134992,0.000134992
3,31.6292,5.2434,8.10666,4.18643,0.01669,0,0,0,0,5.38727,7.1338,4.14841,0,0.0610495,0.0020495,0.0020495,0.00020495
4,35.3941,5.40709,8.04589,4.16735,0.0166,0,0,0,0,5.38124,6.6685,4.14128,0,0.0477485,0.00274849,0.00274849,0.000274849
5,39.0706,5.16851,7.41439,4.17301,0.01661,0,0,0,0,5.37547,6.68467,4.13495,0,0.0344466,0.00344663,0.00344663,0.000344663
6,42.3101,5.09814,7.06627,4.17403,0.01656,0,0,0,0,5.36724,6.69816,4.12654,0,0.0211437,0.00414367,0.00414367,0.000414367
7,45.8982,5.26975,6.84911,4.13612,0.01665,0,0,0,0,5.35471,4.75781,4.11444,0,0.00783935,0.00483935,0.00483935,0.000483935
8,49.6465,5.1622,6.431,4.12884,0.01664,0,0,0,0,5.45919,4.88095,4.17886,0,0.00498505,0.00498505,0.00498505,0.000498505
9,53.3078,5.1954,6.12626,4.08951,0.01664,0,0,0,0,5.50992,4.61667,4.47641,0,0.00498048,0.00498048,0.00498048,0.000498048
10,56.9364,4.61856,5.24299,3.88899,0.01661,0,0,0,0,5.37231,4.28116,4.94374,0,0.00497531,0.00497531,0.00497531,0.000497531
11,61.3054,4.47387,4.67758,3.55068,0.01654,0.00061,0.03825,0.00033,6e-05,5.23873,4.45611,5.53842,0,0.00496953,0.00496953,0.00496953,0.000496953
12,65.4537,3.8809,4.23289,3.08411,0.01665,0.00105,0.06557,0.00072,0.00015,4.45059,4.33823,4.8872,0,0.00496315,0.00496315,0.00496315,0.000496315
