epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,21.3451,5.37255,9.78765,4.22712,0,0,0,0,0,5.39713,7.07065,4.1606,0,0.08765,0.00065,0.00065,6.5e-05
2,24.0663,4.88124,8.4244,4.22108,0,0,0,0,0,5.3953,7.08855,4.16014,0,0.0743499,0.00134992,0.00134992,0.000134992
3,27.4254,5.2495,8.53992,4.20028,0,0,0,0,0,5.39375,7.10529,4.1596,0,0.0610495,0.0020495,0.0020495,0.00020495
4,30.7126,5.42147,9.00372,4.18182,0,0,0,0,0,5.39178,7.12078,4.15851,0,0.0477485,0.00274849,0.00274849,0.000274849
5,34.0456,5.18875,8.62561,4.19899,0,0,0,0,0,5.39054,7.13459,4.15786,0,0.0344466,0.00344663,0.00344663,0.000344663
6,37.2497,5.11458,8.30928,4.20809,0,0,0,0,0,5.38975,7.14511,4.15745,0,0.0211437,0.00414367,0.00414367,0.000414367
7,40.4775,5.28631,8.53803,4.1944,0,0,0,0,0,5.38807,7.15365,4.15605,0,0.00783935,0.00483935,0.00483935,0.000483935
8,44.2369,5.19546,8.01202,4.18394,0,0,0,0,0,5.38403,7.15929,4.16894,0,0.00498505,0.00498505,0.00498505,0.000498505
9,47.9992,5.31443,7.94179,4.18018,0,0,0,0,0,5.39416,7.08947,4.21119,0,0.00498048,0.00498048,0.00498048,0.000498048
10,51.3276,4.98737,7.12488,4.16013,0,0,0,0,0,5.35898,6.70933,4.11699,0,0.00497531,0.00497531,0.00497531,0.000497531
11,55.169,5.27854,6.88384,4.08188,0,0,0,0,0,5.55517,5.39865,8.26169,0,0.00496953,0.00496953,0.00496953,0.000496953
12,57.8866,4.89326,5.54516,3.87425,0,0,0,0,0,nan,nan,nan,0,0.00496315,0.00496315,0.00496315,0.000496315
13,60.5137,4.23085,4.71404,3.49314,0,0,0,0,0,nan,nan,nan,0,0.00495616,0.00495616,0.00495616,0.000495616
14,63.3948,4.11816,4.36255,3.0763,0,0.00067,0.03825,0.00048,0.00017,4.60483,5.39584,6.34513,0,0.00494858,0.00494858,0.00494858,0.000494858
15,66.2135,3.83087,4.04589,2.94771,0,0.00108,0.12022,0.00064,0.00014,4.21432,4.89388,4.54926,0,0.00494039,0.00494039,0.00494039,0.000494039
16,69.0308,3.65765,3.85051,2.85162,0,0.00073,0.01639,0.00039,0.0001,5.49429,6.37942,14.1012,0,0.00493162,0.00493162,0.00493162,0.000493162
17,71.5112,3.60773,3.75461,2.78209,0,0.04357,0.00546,0.00722,0.00103,4.30234,4.57097,4.78528,0,0.00492224,0.00492224,0.00492224,0.000492224
18,74.5207,3.59241,3.59918,2.60214,0,0.00823,0.04372,0.00345,0.00096,3.64153,5.41925,3.06372,0,0.00491228,0.00491228,0.00491228,0.000491228
19,77.509,3.51969,3.50629,2.59142,0,0.04994,0.04372,0.01093,0.00288,3.48097,4.62705,2.83312,0,0.00490173,0.00490173,0.00490173,0.000490173
