               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11399,            0.019981,                   0,          4.6296e-05,            0.010929,          2.4307e-05,          4.7996e-06,             0.10402,            0.014238,                   0,             0.08765,             0.00065,             0.00065
                   1,             0.11012,            0.019619,                   0,          0.00011574,            0.027322,          6.3478e-05,          1.5248e-05,            0.099616,            0.014328,                   0,            0.074343,           0.0013433,           0.0013433
                   2,             0.10806,            0.018938,                   0,          0.00027778,            0.065574,          0.00019716,           5.009e-05,            0.096774,              0.0148,                   0,             0.06103,           0.0020297,           0.0020297
                   3,              0.1058,            0.018744,                   0,          0.00030093,            0.071038,          0.00016255,          4.5094e-05,            0.095839,             0.01391,                   0,            0.047709,           0.0027092,           0.0027092
                   4,             0.10501,            0.017803,                   0,          0.00034722,            0.081967,          0.00018969,          4.4392e-05,            0.095179,             0.01406,                   0,            0.034382,           0.0033817,           0.0033817
                   5,             0.10365,            0.017828,                   0,          0.00034722,            0.081967,           0.0001897,          4.4345e-05,            0.094863,            0.014157,                   0,            0.021047,           0.0040473,           0.0040473
                   6,             0.10315,            0.017758,                   0,          0.00027778,            0.065574,          0.00015474,          4.2422e-05,            0.094861,            0.014212,                   0,            0.007706,            0.004706,            0.004706
                   7,              0.1031,            0.017163,                   0,          0.00030093,            0.071038,          0.00016519,          4.3284e-05,            0.094685,            0.013416,                   0,           0.0048267,           0.0048267,           0.0048267
                   8,              0.1014,            0.017649,                   0,          0.00046296,             0.10929,          0.00026008,          5.0299e-05,            0.095806,            0.012755,                   0,           0.0048267,           0.0048267,           0.0048267
                   9,             0.10109,            0.016776,                   0,          0.00034722,            0.081967,          0.00019155,          4.9564e-05,              0.0974,            0.012499,                   0,            0.004802,            0.004802,            0.004802
                  10,             0.10044,            0.016468,                   0,          0.00032407,            0.076503,          0.00017961,          4.0362e-05,            0.091096,            0.013676,                   0,           0.0047772,           0.0047772,           0.0047772
                  11,            0.099716,            0.016708,                   0,          0.00034722,            0.081967,          0.00018844,          3.8204e-05,            0.090482,            0.013444,                   0,           0.0047525,           0.0047525,           0.0047525
                  12,            0.099256,            0.016566,                   0,            0.000625,             0.14754,          0.00038978,          0.00010067,            0.089062,            0.013305,                   0,           0.0047278,           0.0047278,           0.0047278
                  13,            0.098704,            0.016722,                   0,          0.00050926,             0.12022,           0.0003346,          7.4361e-05,             0.08936,             0.01325,                   0,            0.004703,            0.004703,            0.004703
