                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7262,                 6.5063,                 3.2666,                0.11464,                0.24204,                0.06018,                0.01695,                 2.7131,                 14.705,                 1.9642,               0.068483,              0.0016588,              0.0016588
                      2,                 2.4159,                 2.3413,                 1.5257,                0.33712,                0.27318,                 0.2002,                0.06748,                 2.2462,                 2.3009,                 1.5327,               0.036816,              0.0033253,              0.0033253
                      3,                 2.1359,                 2.0818,                 1.3433,                0.36352,                 0.1242,                   0.16,                0.05772,                 2.2572,                 2.7598,                  1.524,              0.0051482,              0.0049909,              0.0049909
                      4,                 2.0175,                 1.9114,                  1.288,                0.50383,                0.33546,                0.33661,                0.11902,                 2.1448,                 2.1187,                 1.4365,              0.0049973,              0.0049973,              0.0049973
                      5,                 1.8995,                 1.7301,                 1.2312,                0.14035,                0.35669,                0.19869,                0.07473,                 2.4051,                 3.7718,                 1.5076,              0.0049973,              0.0049973,              0.0049973
                      6,                 1.8364,                 1.6292,                 1.2102,                0.61724,                0.43825,                0.46292,                0.17102,                 2.0948,                 1.8548,                 1.3914,              0.0049951,              0.0049951,              0.0049951
                      7,                 1.7857,                 1.5421,                 1.1827,                0.57384,                0.47134,                0.47263,                0.19278,                 1.9656,                 1.8091,                 1.3272,              0.0049924,              0.0049924,              0.0049924
                      8,                 1.7493,                 1.4854,                 1.1675,                0.65805,                0.50212,                0.53096,                0.20891,                 1.9984,                 1.6042,                 1.3457,               0.004989,               0.004989,               0.004989
                      9,                 1.7164,                 1.4153,                 1.1547,                0.70503,                0.49045,                0.54276,                0.22471,                 1.9856,                 1.5951,                 1.3565,              0.0049851,              0.0049851,              0.0049851
                     10,                 1.6881,                 1.3723,                 1.1561,                0.55754,                0.46178,                0.43616,                0.16698,                  2.051,                 1.9262,                 1.3794,              0.0049805,              0.0049805,              0.0049805
                     11,                  1.671,                 1.3454,                 1.1394,                0.65372,                0.49099,                0.51272,                0.21437,                 1.9251,                 1.5454,                 1.3104,              0.0049753,              0.0049753,              0.0049753
                     12,                 1.6446,                  1.291,                 1.1331,                0.60082,                0.50212,                 0.5066,                0.19703,                 2.0146,                 1.8039,                 1.3585,              0.0049695,              0.0049695,              0.0049695
                     13,                  1.642,                 1.2765,                 1.1317,                0.59053,                0.57006,                0.55983,                0.23832,                 1.9589,                 1.6464,                 1.3356,              0.0049631,              0.0049631,              0.0049631
                     14,                  1.621,                  1.254,                 1.1242,                0.69683,                0.56369,                0.59008,                 0.2477,                 1.9413,                 1.4628,                 1.3233,              0.0049562,              0.0049562,              0.0049562
                     15,                 1.6107,                 1.2188,                 1.1161,                0.78725,                0.57537,                0.62227,                0.25871,                 1.9281,                 1.3703,                 1.3283,              0.0049486,              0.0049486,              0.0049486
                     16,                 1.5778,                 1.1982,                 1.1073,                0.68917,                0.56582,                 0.5946,                0.25093,                 1.9612,                 1.4342,                 1.3278,              0.0049404,              0.0049404,              0.0049404
                     17,                 1.5699,                 1.1644,                  1.111,                0.65001,                0.49575,                0.50762,                0.19301,                 2.0072,                 1.6296,                 1.3497,              0.0049316,              0.0049316,              0.0049316
                     18,                 1.5731,                 1.1606,                 1.1044,                0.73861,                0.54595,                0.59736,                0.24243,                 1.9643,                 1.4394,                 1.3372,              0.0049222,              0.0049222,              0.0049222
                     19,                 1.5634,                 1.1353,                 1.1013,                0.70967,                0.53609,                0.56538,                0.24404,                 1.9832,                 1.4896,                 1.3506,              0.0049123,              0.0049123,              0.0049123
                     20,                 1.5449,                 1.1232,                 1.0981,                 0.7394,                0.52409,                0.55362,                0.22795,                 2.0347,                 1.5374,                  1.383,              0.0049017,              0.0049017,              0.0049017
                     21,                 1.5162,                 1.0893,                 1.0847,                0.73516,                0.55104,                0.58676,                0.25468,                 1.9517,                 1.4369,                 1.3247,              0.0048906,              0.0048906,              0.0048906
                     22,                 1.5354,                  1.101,                 1.0909,                0.68488,                0.56794,                 0.6037,                0.24346,                 2.0011,                 1.4098,                 1.3641,              0.0048789,              0.0048789,              0.0048789
                     23,                  1.513,                 1.0725,                   1.08,                0.63621,                0.53097,                0.54499,                0.22944,                 1.9735,                 1.5305,                 1.3479,              0.0048666,              0.0048666,              0.0048666
                     24,                 1.5036,                 1.0623,                 1.0777,                0.73938,                0.55115,                0.60119,                0.25914,                 1.9135,                 1.4595,                 1.3203,              0.0048537,              0.0048537,              0.0048537
                     25,                  1.492,                 1.0388,                 1.0792,                0.73865,                0.55308,                0.60136,                0.26534,                 2.0074,                 1.5503,                 1.3612,              0.0048402,              0.0048402,              0.0048402
                     26,                  1.498,                 1.0252,                 1.0764,                0.72075,                0.56718,                0.59915,                0.25813,                  1.966,                 1.3914,                 1.3345,              0.0048262,              0.0048262,              0.0048262
                     27,                  1.482,                 1.0194,                 1.0752,                 0.7521,                0.55074,                0.59462,                0.24932,                  2.046,                 1.4624,                 1.3664,              0.0048116,              0.0048116,              0.0048116
                     28,                 1.4632,                 0.9931,                 1.0664,                0.67977,                0.54989,                0.58898,                0.25124,                 1.9772,                 1.5156,                 1.3365,              0.0047964,              0.0047964,              0.0047964
                     29,                 1.4575,                0.98604,                 1.0643,                0.75484,                0.54989,                 0.6121,                0.25839,                 2.0185,                 1.3305,                  1.374,              0.0047807,              0.0047807,              0.0047807
                     30,                 1.4625,                0.98368,                 1.0634,                0.67601,                 0.5828,                0.60609,                0.26359,                  1.959,                 1.3835,                 1.3335,              0.0047644,              0.0047644,              0.0047644
                     31,                 1.4464,                0.96159,                 1.0598,                0.68829,                0.59979,                0.61652,                0.26261,                 2.0027,                 1.3476,                 1.3742,              0.0047476,              0.0047476,              0.0047476
                     32,                 1.4303,                0.95916,                 1.0557,                0.70672,                0.59347,                0.61596,                0.26659,                 2.0287,                 1.3495,                   1.38,              0.0047302,              0.0047302,              0.0047302
                     33,                  1.435,                0.94134,                 1.0533,                0.73543,                0.57113,                0.62852,                0.27171,                  1.981,                 1.3311,                 1.3656,              0.0047123,              0.0047123,              0.0047123
                     34,                 1.4221,                0.93553,                 1.0496,                0.71508,                0.57749,                 0.6029,                0.26394,                  1.992,                 1.3925,                 1.3555,              0.0046939,              0.0046939,              0.0046939
                     35,                 1.4198,                0.92622,                 1.0529,                0.69761,                0.57798,                0.59015,                0.24678,                 2.0148,                 1.3408,                  1.373,              0.0046749,              0.0046749,              0.0046749
                     36,                 1.4172,                0.93556,                 1.0476,                0.68195,                0.45966,                0.52042,                0.21534,                 2.0111,                 1.5441,                 1.3803,              0.0046553,              0.0046553,              0.0046553
                     37,                 1.4268,                0.92508,                 1.0498,                0.71746,                0.54459,                 0.5919,                0.26306,                 1.9983,                 1.4234,                 1.3597,              0.0046353,              0.0046353,              0.0046353
                     38,                  1.395,                0.91222,                 1.0431,                0.69575,                0.58917,                 0.6176,                0.25714,                  1.997,                 1.3384,                   1.36,              0.0046147,              0.0046147,              0.0046147
                     39,                 1.3901,                0.88864,                 1.0414,                0.75985,                0.55308,                0.60871,                0.24695,                  2.063,                 1.4051,                 1.4024,              0.0045936,              0.0045936,              0.0045936
                     40,                 1.3938,                 0.8973,                 1.0377,                0.76499,                0.58174,                0.63001,                0.25667,                 2.0093,                 1.3137,                 1.3643,               0.004572,               0.004572,               0.004572
                     41,                 1.3781,                 0.8789,                 1.0399,                0.71819,                0.57431,                0.60821,                0.25183,                 2.0625,                 1.3636,                 1.3859,              0.0045499,              0.0045499,              0.0045499
                     42,                 1.3758,                0.87849,                 1.0371,                0.73146,                  0.569,                 0.5987,                0.24817,                 2.0444,                  1.469,                 1.3863,              0.0045273,              0.0045273,              0.0045273
                     43,                 1.3711,                0.87006,                 1.0315,                0.75086,                0.56794,                0.60691,                 0.2518,                 2.0519,                 1.3694,                 1.3964,              0.0045042,              0.0045042,              0.0045042
                     44,                 1.3623,                0.85133,                 1.0297,                 0.7437,                 0.5668,                0.60895,                0.25956,                 2.0178,                 1.3767,                 1.3838,              0.0044806,              0.0044806,              0.0044806
                     45,                 1.3553,                0.84517,                 1.0336,                   0.78,                 0.5608,                0.61176,                0.26852,                 2.0099,                 1.3517,                 1.3788,              0.0044566,              0.0044566,              0.0044566
                     46,                 1.3485,                0.85107,                  1.029,                0.74378,                0.58493,                0.62205,                0.26914,                 1.9751,                 1.2966,                 1.3567,               0.004432,               0.004432,               0.004432
                     47,                 1.3457,                0.84653,                 1.0284,                0.80716,                0.55542,                0.62062,                0.27185,                 1.9728,                 1.3276,                 1.3597,               0.004407,               0.004407,               0.004407
                     48,                  1.327,                0.82358,                 1.0199,                0.77148,                0.57537,                0.62551,                0.26563,                 1.9982,                 1.3497,                 1.3594,              0.0043815,              0.0043815,              0.0043815
                     49,                 1.3286,                0.83064,                 1.0192,                0.73251,                0.58917,                 0.6119,                 0.2587,                 2.0162,                 1.3498,                 1.3904,              0.0043556,              0.0043556,              0.0043556
                     50,                 1.3353,                0.82649,                 1.0227,                0.74913,                0.57643,                0.60979,                0.26006,                 2.0248,                 1.3312,                 1.3958,              0.0043292,              0.0043292,              0.0043292
                     51,                 1.3358,                0.82575,                 1.0223,                0.72098,                0.58174,                0.60211,                0.26017,                 2.0375,                 1.3216,                 1.3948,              0.0043024,              0.0043024,              0.0043024
                     52,                 1.3135,                0.80581,                 1.0152,                0.77744,                0.58174,                0.61465,                0.26044,                 1.9816,                 1.3212,                 1.3638,              0.0042751,              0.0042751,              0.0042751
                     53,                 1.3204,                0.80183,                 1.0171,                0.78217,                0.56797,                0.61775,                 0.2722,                 1.9745,                 1.3198,                  1.362,              0.0042474,              0.0042474,              0.0042474
                     54,                 1.3006,                0.79747,                 1.0101,                0.74457,                0.58175,                0.60879,                0.25979,                  1.963,                 1.3278,                 1.3609,              0.0042193,              0.0042193,              0.0042193
                     55,                 1.3039,                0.79134,                 1.0088,                0.76391,                0.58048,                0.62458,                0.26821,                 1.9974,                 1.3034,                 1.3749,              0.0041907,              0.0041907,              0.0041907
                     56,                 1.3006,                0.79775,                 1.0108,                0.78523,                0.58493,                0.65706,                0.27682,                 1.9852,                 1.2404,                 1.3762,              0.0041617,              0.0041617,              0.0041617
                     57,                 1.2838,                0.77494,                 1.0028,                0.77027,                0.60864,                0.63316,                0.26892,                 1.9809,                 1.2801,                 1.3679,              0.0041324,              0.0041324,              0.0041324
                     58,                 1.2851,                0.77666,                 1.0027,                0.72264,                0.57219,                0.61286,                0.26584,                 1.9987,                 1.2928,                  1.373,              0.0041026,              0.0041026,              0.0041026
                     59,                 1.2838,                0.77267,                0.99886,                0.73984,                0.57537,                0.61336,                 0.2545,                 2.0199,                 1.3271,                 1.3821,              0.0040725,              0.0040725,              0.0040725
                     60,                 1.2706,                0.76735,                0.99678,                0.76164,                0.52917,                0.59948,                0.25987,                 2.0028,                 1.2983,                 1.3835,              0.0040419,              0.0040419,              0.0040419
                     61,                 1.2769,                0.75861,                 1.0024,                 0.7576,                0.56735,                0.60152,                0.25685,                 2.0686,                 1.3722,                 1.4085,               0.004011,               0.004011,               0.004011
                     62,                  1.269,                0.75901,                 1.0011,                0.71405,                0.57643,                0.60271,                0.26055,                 2.0186,                 1.3543,                 1.3868,              0.0039798,              0.0039798,              0.0039798
                     63,                 1.2648,                0.74981,                0.99877,                0.72007,                0.56369,                0.59405,                0.24971,                 2.0401,                 1.3728,                 1.3995,              0.0039481,              0.0039481,              0.0039481
                     64,                 1.2709,                0.75753,                 1.0021,                0.80975,                0.55202,                0.61726,                0.26309,                 2.0174,                 1.3548,                 1.3844,              0.0039162,              0.0039162,              0.0039162
                     65,                 1.2597,                0.75586,                  0.992,                0.76739,                0.56369,                0.59814,                0.26201,                 2.0021,                 1.3542,                 1.3824,              0.0038838,              0.0038838,              0.0038838
                     66,                 1.2462,                0.73298,                0.98815,                  0.786,                0.57006,                0.62592,                0.27124,                 2.0039,                  1.311,                 1.3745,              0.0038512,              0.0038512,              0.0038512
                     67,                 1.2356,                0.72693,                0.98899,                0.79266,                0.54382,                0.61297,                0.26516,                 2.0054,                 1.3446,                 1.3824,              0.0038182,              0.0038182,              0.0038182
                     68,                 1.2427,                0.73244,                  0.995,                0.75568,                0.55839,                0.61374,                 0.2609,                  2.012,                 1.3294,                 1.3836,              0.0037849,              0.0037849,              0.0037849
                     69,                 1.2307,                0.72556,                0.99094,                0.77015,                0.55096,                0.63182,                0.26621,                 2.0274,                 1.2933,                 1.4036,              0.0037513,              0.0037513,              0.0037513
                     70,                 1.2247,                0.71391,                 0.9854,                0.71178,                0.59342,                0.62174,                0.26464,                 2.0464,                 1.3272,                 1.4117,              0.0037173,              0.0037173,              0.0037173
                     71,                 1.2297,                0.71931,                0.98193,                0.75428,                0.58655,                 0.6386,                0.27391,                 2.0021,                 1.2869,                 1.3872,              0.0036831,              0.0036831,              0.0036831
                     72,                 1.2124,                0.69816,                0.98249,                0.79694,                0.54352,                0.62489,                0.26922,                 2.0458,                 1.3215,                 1.4079,              0.0036486,              0.0036486,              0.0036486
                     73,                 1.2223,                0.69939,                 0.9858,                 0.7145,                0.56263,                0.59897,                0.26093,                 2.0524,                 1.4024,                 1.4108,              0.0036138,              0.0036138,              0.0036138
                     74,                  1.222,                0.71135,                0.98248,                0.77803,                0.56688,                0.61758,                0.26713,                 2.0286,                 1.3611,                 1.3977,              0.0035788,              0.0035788,              0.0035788
                     75,                 1.2117,                0.69528,                0.97522,                0.80778,                 0.5552,                0.62906,                0.26816,                 2.0306,                 1.3322,                 1.4084,              0.0035435,              0.0035435,              0.0035435
                     76,                 1.2025,                0.68523,                 0.9758,                0.77953,                0.56677,                0.62885,                0.26858,                 2.0395,                  1.355,                 1.4176,              0.0035079,              0.0035079,              0.0035079
                     77,                 1.1981,                0.68841,                 0.9763,                0.78541,                0.54565,                 0.6258,                  0.269,                 2.0222,                 1.3152,                 1.4035,              0.0034721,              0.0034721,              0.0034721
                     78,                 1.2016,                0.68396,                0.97986,                0.79682,                0.54953,                0.62546,                0.27187,                 2.0263,                 1.3382,                  1.408,              0.0034361,              0.0034361,              0.0034361
                     79,                 1.2063,                 0.7003,                0.97634,                0.78668,                0.55626,                0.62133,                0.27246,                   2.01,                 1.3478,                 1.3937,              0.0033999,              0.0033999,              0.0033999
                     80,                 1.1919,                0.68218,                 0.9734,                0.80203,                0.55048,                0.61699,                  0.267,                 2.0294,                 1.3193,                 1.4105,              0.0033634,              0.0033634,              0.0033634
                     81,                 1.1689,                0.67019,                0.96538,                0.78166,                0.55732,                0.61777,                 0.2706,                 2.0143,                  1.353,                 1.4033,              0.0033267,              0.0033267,              0.0033267
                     82,                 1.1847,                 0.6796,                0.97331,                0.77001,                  0.569,                0.63733,                0.27595,                 2.0212,                  1.363,                 1.4112,              0.0032898,              0.0032898,              0.0032898
