epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,130.047,6.46471,29.1827,4.81975,0.0439,0,0,0,0,6.63646,4.72713,4.04536,0,0.0684827,0.00165881,0.00165881,0.000165881
2,208.024,3.92922,4.12369,2.73666,0.0434,0.17476,0.19958,0.10264,0.03306,2.68186,4.2317,1.80198,0,0.0368158,0.00332527,0.00332527,0.000332527
3,272.584,2.37167,2.36667,1.47618,0.04235,0.24725,0.24095,0.13485,0.04077,2.46802,2.58348,1.56905,0,0.00514815,0.00499092,0.00499092,0.000499092
4,332.246,2.09466,2.05785,1.31865,0.04133,0.48675,0.35244,0.33598,0.12353,2.14069,2.83618,1.41692,0,0.00499725,0.00499725,0.00499725,0.000499725
5,398.124,1.95677,1.8505,1.25824,0.03936,0.48749,0.34231,0.33915,0.12263,2.11821,2.1233,1.39969,0,0.00499512,0.00499512,0.00499512,0.000499512
6,483.814,1.88084,1.74122,1.22876,0.03796,0.44055,0.35138,0.32073,0.12114,2.09652,2.06876,1.38797,0,0.00499237,0.00499237,0.00499237,0.000499237
7,552.647,1.83255,1.66269,1.20299,0.03747,0.40132,0.39066,0.31405,0.11485,2.1098,2.04222,1.38526,0,0.00498902,0.00498902,0.00498902,0.000498902
8,623.53,1.80303,1.58556,1.18726,0.03611,0.50944,0.46191,0.42028,0.16023,2.02459,1.82831,1.36224,0,0.00498505,0.00498505,0.00498505,0.000498505
9,693.057,1.75841,1.53666,1.17556,0.03401,0.55635,0.4448,0.43372,0.16859,2.09028,2.06525,1.38663,0,0.00498048,0.00498048,0.00498048,0.000498048
10,757.866,1.74529,1.46697,1.17657,0.03338,0.56896,0.38674,0.40305,0.16099,2.09097,1.96746,1.36205,0,0.00497531,0.00497531,0.00497531,0.000497531
11,827.631,1.70954,1.4322,1.16245,0.03202,0.41229,0.43312,0.36065,0.14238,2.09532,2.00853,1.36499,0,0.00496953,0.00496953,0.00496953,0.000496953
12,900.78,1.71507,1.42182,1.16019,0.03095,0.38614,0.3482,0.27201,0.1074,2.10775,2.27091,1.39028,0,0.00496315,0.00496315,0.00496315,0.000496315
13,966.766,1.68915,1.3746,1.15236,0.02741,0.65372,0.48938,0.52844,0.2219,2.00066,1.57328,1.34524,0,0.00495616,0.00495616,0.00495616,0.000495616
14,1031.16,1.67468,1.35509,1.14056,0.02658,0.58075,0.50637,0.49206,0.20562,1.97362,1.86731,1.32452,0,0.00494858,0.00494858,0.00494858,0.000494858
15,1097.02,1.65915,1.32113,1.14675,0.02588,0.46971,0.38535,0.34729,0.13718,2.07629,2.01662,1.37209,0,0.00494039,0.00494039,0.00494039,0.000494039
16,1161.76,1.64823,1.30075,1.132,0.02419,0.67065,0.4862,0.53189,0.21081,1.97661,1.75895,1.35131,0,0.00493162,0.00493162,0.00493162,0.000493162
17,1225.48,1.64314,1.28966,1.12763,0.02265,0.71925,0.51944,0.57229,0.23502,1.99397,1.48818,1.32921,0,0.00492224,0.00492224,0.00492224,0.000492224
18,1288.25,1.63521,1.27807,1.1294,0.0213,0.68187,0.53715,0.57379,0.24535,1.99163,1.78879,1.34985,0,0.00491228,0.00491228,0.00491228,0.000491228
19,1350.06,1.62027,1.24894,1.12305,0.02057,0.68545,0.54034,0.56816,0.2306,1.96453,1.57924,1.3375,0,0.00490173,0.00490173,0.00490173,0.000490173
20,1412.96,1.60223,1.22791,1.12044,0.01926,0.68472,0.53822,0.57835,0.24515,1.94204,1.46887,1.31977,0,0.00489059,0.00489059,0.00489059,0.000489059
