epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,71.7918,6.18816,19.09,4.61154,0.01669,8e-05,0.00637,7e-05,1e-05,6.13227,4.11281,4.57298,0,0.0684827,0.00165881,0.00165881,0.000165881
2,121.805,4.5785,5.02127,3.33407,0.01664,0.06182,0.07325,0.01671,0.00401,3.73798,3.41518,2.4226,0,0.0368158,0.00332527,0.00332527,0.000332527
3,169.524,2.89146,2.93756,1.85477,0.01673,0.25058,0.19214,0.12328,0.0399,2.54672,4.06764,1.63125,0,0.00514815,0.00499092,0.00499092,0.000499092
4,217.771,2.19767,2.18901,1.36911,0.01677,0.2018,0.14437,0.10254,0.03193,2.47072,3.01675,1.57515,0,0.00499725,0.00499725,0.00499725,0.000499725
5,268.278,2.01754,1.92891,1.27823,0.01683,0.64562,0.16633,0.25761,0.08938,2.28897,2.90095,1.48243,0,0.00499512,0.00499512,0.00499512,0.000499512
6,314.986,1.90641,1.78576,1.23913,0.0168,0.57236,0.42994,0.43597,0.16862,2.05041,2.02067,1.36209,0,0.00499237,0.00499237,0.00499237,0.000499237
7,361.997,1.85459,1.6673,1.21146,0.01681,0.55056,0.43737,0.44567,0.18145,2.04334,1.80536,1.36303,0,0.00498902,0.00498902,0.00498902,0.000498902
8,408.633,1.81553,1.59084,1.19209,0.01678,0.45724,0.43843,0.40062,0.16163,1.98147,2.68761,1.34712,0,0.00498505,0.00498505,0.00498505,0.000498505
9,456.952,1.7595,1.51765,1.1726,0.01676,0.69097,0.46603,0.53391,0.21963,1.96778,1.61657,1.33279,0,0.00498048,0.00498048,0.00498048,0.000498048
10,505.11,1.73724,1.46246,1.17044,0.01675,0.59073,0.47134,0.47932,0.19513,2.03162,1.67753,1.36191,0,0.00497531,0.00497531,0.00497531,0.000497531
11,555.04,1.70019,1.40574,1.15824,0.01671,0.66206,0.5138,0.53412,0.2258,1.95677,1.80387,1.34606,0,0.00496953,0.00496953,0.00496953,0.000496953
12,604.419,1.70023,1.39416,1.15665,0.01582,0.50422,0.47877,0.45528,0.18152,2.02576,2.1572,1.36041,0,0.00496315,0.00496315,0.00496315,0.000496315
13,653.333,1.67938,1.35913,1.14735,0.01233,0.63641,0.53715,0.52918,0.21097,1.99603,1.70699,1.33798,0,0.00495616,0.00495616,0.00495616,0.000495616
14,698.767,1.67275,1.3444,1.13985,0.01233,0.68039,0.51073,0.54015,0.2315,1.97425,1.55474,1.33048,0,0.00494858,0.00494858,0.00494858,0.000494858
15,746.507,1.65665,1.3046,1.1435,0.01231,0.66001,0.50696,0.54596,0.23223,1.96475,1.55644,1.32215,0,0.00494039,0.00494039,0.00494039,0.000494039
16,793.34,1.64098,1.28061,1.13082,0.01231,0.64197,0.53503,0.56387,0.23609,1.92714,2.33716,1.31874,0,0.00493162,0.00493162,0.00493162,0.000493162
17,843.308,1.63644,1.25224,1.12471,0.01231,0.69322,0.50955,0.55877,0.23953,1.96193,1.57518,1.33311,0,0.00492224,0.00492224,0.00492224,0.000492224
18,891.606,1.62352,1.25254,1.12359,0.01223,0.68127,0.50147,0.5435,0.23128,1.95276,1.60673,1.32965,0,0.00491228,0.00491228,0.00491228,0.000491228
19,941.566,1.60331,1.23089,1.11898,0.01219,0.66702,0.43807,0.47921,0.19961,1.98862,1.75785,1.31964,0,0.00490173,0.00490173,0.00490173,0.000490173
20,991.908,1.58504,1.20766,1.11313,0.01218,0.66045,0.5414,0.56101,0.24044,1.95364,1.46626,1.31592,0,0.00489059,0.00489059,0.00489059,0.000489059
21,1040.51,1.60167,1.21844,1.11882,0.01217,0.69066,0.50958,0.56549,0.23692,1.94884,1.46069,1.31238,0,0.00487886,0.00487886,0.00487886,0.000487886
22,1085.73,1.55234,1.15628,1.10156,0.01217,0.70275,0.49363,0.55061,0.23008,1.98136,1.4983,1.33735,0,0.00486656,0.00486656,0.00486656,0.000486656
23,1132.97,1.58186,1.17074,1.11618,0.0121,0.71664,0.50212,0.5744,0.25176,1.92666,1.51886,1.29715,0,0.00485368,0.00485368,0.00485368,0.000485368
24,1178.46,1.57281,1.14487,1.10837,0.01208,0.7511,0.53818,0.59376,0.25351,1.89042,1.4408,1.29569,0,0.00484022,0.00484022,0.00484022,0.000484022
25,1224.54,1.55062,1.13342,1.09823,0.01202,0.67918,0.50106,0.53896,0.22487,1.9627,1.60469,1.33457,0,0.0048262,0.0048262,0.0048262,0.00048262
26,1271.35,1.5245,1.10418,1.08529,0.01201,0.70735,0.51805,0.5539,0.23796,1.96596,1.57424,1.32028,0,0.0048116,0.0048116,0.0048116,0.00048116
27,1321.86,1.54315,1.11095,1.10333,0.01201,0.74721,0.52972,0.59955,0.25477,1.92543,1.41038,1.31298,0,0.00479644,0.00479644,0.00479644,0.000479644
28,1370.35,1.52389,1.09814,1.09139,0.01195,0.69852,0.52866,0.56435,0.23852,1.97262,1.45064,1.32458,0,0.00478072,0.00478072,0.00478072,0.000478072
