epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/moe_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/moe_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3
1,54.8508,6.27913,27.4446,4.5532,0,9e-05,0.00743,5e-05,2e-05,6.43096,11.6772,4.48075,0,0.0684827,0.00165881,0.00165881,0.000165881
2,90.6456,5.51518,8.9823,4.26479,0,0.04277,0.01699,0.00333,0.00065,4.39344,4.31623,3.9801,0,0.0368158,0.00332527,0.00332527,0.000332527
3,125.437,3.19785,3.52463,2.13447,0,0.23726,0.25902,0.15853,0.04328,2.55128,11.1632,1.7815,0,0.00514815,0.00499092,0.00499092,0.000499092
4,159.952,2.16774,2.15962,1.35769,0,0.39361,0.36934,0.27915,0.08664,2.36093,3.80033,1.57886,0,0.00499725,0.00499725,0.00499725,0.000499725
5,194.519,1.97721,1.86747,1.26066,0,0.48557,0.33166,0.32827,0.12651,2.08997,2.12922,1.37983,0,0.00499512,0.00499512,0.00499512,0.000499512
6,228.213,1.87464,1.71609,1.22183,0,0.55572,0.31741,0.36373,0.13395,2.12824,2.19671,1.38945,0,0.00499237,0.00499237,0.00499237,0.000499237
7,263.013,1.8253,1.61702,1.19936,0,0.62509,0.42887,0.46984,0.19319,2.05447,1.76947,1.38093,0,0.00498902,0.00498902,0.00498902,0.000498902
8,297.777,1.79354,1.55162,1.18254,0,0.4777,0.40234,0.37114,0.16045,1.96926,2.0199,1.34372,0,0.00498505,0.00498505,0.00498505,0.000498505
9,332.341,1.74778,1.49099,1.17016,0,0.64279,0.48195,0.50097,0.20242,2.01232,1.9503,1.35697,0,0.00498048,0.00498048,0.00498048,0.000498048
10,367.375,1.72613,1.4326,1.16708,0,0.60787,0.44904,0.44898,0.17127,2.07029,1.68498,1.38414,0,0.00497531,0.00497531,0.00497531,0.000497531
11,401.457,1.69562,1.37739,1.15674,0,0.5555,0.44709,0.44686,0.18612,2.09404,1.7367,1.379,0,0.00496953,0.00496953,0.00496953,0.000496953
12,435.388,1.69636,1.37089,1.15462,0,0.60358,0.46226,0.49508,0.20387,2.02707,1.64374,1.3604,0,0.00496315,0.00496315,0.00496315,0.000496315
13,469.489,1.67488,1.3325,1.14501,0,0.6588,0.50212,0.53289,0.2232,1.99335,1.55808,1.34315,0,0.00495616,0.00495616,0.00495616,0.000495616
14,503.451,1.65708,1.30745,1.13382,0,0.56804,0.46905,0.48029,0.1918,1.99516,2.30649,1.35041,0,0.00494858,0.00494858,0.00494858,0.000494858
15,536.897,1.64219,1.27709,1.13725,0,0.65783,0.51592,0.53653,0.22217,1.98437,1.59996,1.34354,0,0.00494039,0.00494039,0.00494039,0.000494039
16,570.87,1.62828,1.2468,1.12494,0,0.59175,0.43418,0.44138,0.17576,2.09649,1.79473,1.37694,0,0.00493162,0.00493162,0.00493162,0.000493162
17,605.051,1.61793,1.23284,1.11758,0,0.62091,0.50597,0.47597,0.18762,2.03921,1.69469,1.36333,0,0.00492224,0.00492224,0.00492224,0.000492224
18,639.373,1.60478,1.22794,1.11741,0,0.59421,0.45547,0.47834,0.20476,2.03319,1.78181,1.35236,0,0.00491228,0.00491228,0.00491228,0.000491228
