               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11489,            0.013751,                   0,          5.1221e-05,              0.0138,          2.6179e-05,          5.2135e-06,             0.10156,           0.0099317,                   0,            0.068483,           0.0016588,           0.0016588
                   1,            0.090616,            0.011464,                   0,           0.0028526,             0.76858,             0.03979,           0.0098997,            0.072701,           0.0096953,                   0,              0.0368,            0.003309,            0.003309
                   2,            0.069151,            0.011106,                   0,              0.2352,             0.18706,             0.11675,            0.035598,            0.061256,           0.0084349,                   0,           0.0050999,           0.0049427,           0.0049427
                   3,            0.063138,            0.010468,                   0,             0.17194,             0.21536,              0.1151,            0.037493,            0.054307,            0.009455,                   0,           0.0049257,           0.0049257,           0.0049257
                   4,            0.058868,           0.0099247,                   0,             0.26979,             0.27176,              0.1745,            0.058092,             0.05555,           0.0078188,                   0,           0.0049257,           0.0049257,           0.0049257
                   5,            0.055658,           0.0094893,                   0,              0.3546,             0.17516,              0.1366,            0.040969,            0.064407,           0.0073262,                   0,            0.004901,            0.004901,            0.004901
                   6,            0.055706,           0.0090294,                   0,             0.45052,             0.33439,             0.30274,             0.10183,            0.051899,           0.0071691,                   0,           0.0048762,           0.0048762,           0.0048762
                   7,            0.053584,           0.0087881,                   0,             0.37924,             0.36254,             0.31068,             0.11283,            0.050934,            0.007511,                   0,           0.0048515,           0.0048515,           0.0048515
                   8,            0.052377,           0.0084063,                   0,             0.39678,             0.36518,             0.30063,             0.10421,            0.051579,           0.0070471,                   0,           0.0048267,           0.0048267,           0.0048267
                   9,            0.051574,           0.0083547,                   0,             0.43894,             0.41401,             0.38193,             0.14407,             0.04963,           0.0068856,                   0,            0.004802,            0.004802,            0.004802
                  10,            0.050068,           0.0079978,                   0,              0.4013,             0.30892,             0.27315,             0.10915,            0.052389,           0.0073372,                   0,           0.0047772,           0.0047772,           0.0047772
                  11,            0.049973,           0.0079475,                   0,             0.49806,             0.40028,             0.37275,             0.13689,            0.050079,           0.0068247,                   0,           0.0047525,           0.0047525,           0.0047525
                  12,            0.048731,            0.007815,                   0,             0.36065,             0.37155,             0.29515,             0.11266,            0.052459,           0.0072158,                   0,           0.0047278,           0.0047278,           0.0047278
                  13,            0.048882,           0.0078177,                   0,             0.50803,              0.4396,             0.42092,             0.16721,            0.047936,           0.0066112,                   0,            0.004703,            0.004703,            0.004703
                  14,            0.047897,           0.0074841,                   0,             0.54333,             0.40164,             0.41538,             0.15224,            0.050136,           0.0066742,                   0,           0.0046783,           0.0046783,           0.0046783
                  15,            0.047744,           0.0075559,                   0,             0.58016,             0.46072,             0.43996,             0.16944,            0.047213,           0.0062148,                   0,           0.0046535,           0.0046535,           0.0046535
                  16,            0.047043,            0.007418,                   0,             0.52326,             0.44055,             0.41651,              0.1602,            0.048126,            0.007139,                   0,           0.0046288,           0.0046288,           0.0046288
                  17,             0.04639,           0.0074251,                   0,             0.45498,             0.42781,             0.37894,             0.13703,            0.050204,           0.0071281,                   0,            0.004604,            0.004604,            0.004604
                  18,             0.04643,           0.0073749,                   0,             0.53263,              0.4586,             0.43986,             0.17282,            0.047373,           0.0062761,                   0,           0.0045792,           0.0045792,           0.0045792
                  19,            0.045981,           0.0071886,                   0,             0.46473,             0.40922,              0.3541,             0.13709,            0.049747,            0.011086,                   0,           0.0045545,           0.0045545,           0.0045545
                  20,            0.046021,           0.0072394,                   0,             0.55555,             0.46391,             0.44556,              0.1751,            0.047559,           0.0060872,                   0,           0.0045297,           0.0045297,           0.0045297
                  21,            0.045592,           0.0072514,                   0,               0.574,             0.50955,             0.48866,             0.19888,            0.046686,           0.0059313,                   0,            0.004505,            0.004505,            0.004505
                  22,             0.04509,           0.0071783,                   0,             0.49889,             0.46603,             0.39305,             0.15404,            0.047917,           0.0076384,                   0,           0.0044802,           0.0044802,           0.0044802
                  23,            0.045336,           0.0070348,                   0,             0.62588,             0.50106,             0.50874,             0.21207,            0.046656,           0.0057697,                   0,           0.0044555,           0.0044555,           0.0044555
                  24,            0.045175,           0.0069923,                   0,             0.49997,             0.47234,             0.43497,             0.17893,            0.047253,           0.0061706,                   0,           0.0044307,           0.0044307,           0.0044307
                  25,            0.044259,           0.0069619,                   0,             0.62691,             0.49469,             0.50069,             0.20374,            0.046974,           0.0057691,                   0,            0.004406,            0.004406,            0.004406
                  26,             0.04353,           0.0068702,                   0,             0.60262,             0.49583,             0.49504,             0.20114,            0.047549,           0.0059414,                   0,           0.0043812,           0.0043812,           0.0043812
                  27,            0.044199,           0.0068348,                   0,             0.63761,             0.49257,             0.50636,             0.20636,            0.046212,           0.0057533,                   0,           0.0043565,           0.0043565,           0.0043565
                  28,            0.043733,           0.0066984,                   0,             0.60036,             0.49469,             0.48652,             0.19585,            0.046533,           0.0071496,                   0,           0.0043317,           0.0043317,           0.0043317
                  29,            0.043496,           0.0067466,                   0,             0.63947,             0.48408,              0.5192,             0.20833,             0.04669,            0.005847,                   0,            0.004307,            0.004307,            0.004307
                  30,            0.043367,           0.0066728,                   0,             0.55854,             0.52382,             0.50215,             0.19826,            0.046131,           0.0057571,                   0,           0.0042822,           0.0042822,           0.0042822
                  31,            0.043194,           0.0067043,                   0,             0.67461,             0.51274,             0.53597,             0.21132,             0.04736,           0.0056038,                   0,           0.0042575,           0.0042575,           0.0042575
                  32,            0.043293,           0.0066567,                   0,             0.64364,             0.54459,             0.54122,             0.22071,            0.045333,           0.0056913,                   0,           0.0042328,           0.0042328,           0.0042328
                  33,            0.042534,           0.0067055,                   0,              0.5936,             0.50084,             0.49759,             0.19876,            0.046267,           0.0057051,                   0,            0.004208,            0.004208,            0.004208
                  34,             0.04278,           0.0064954,                   0,             0.58546,             0.49894,               0.493,              0.2077,            0.045985,           0.0065254,                   0,           0.0041833,           0.0041833,           0.0041833
                  35,            0.043161,           0.0065572,                   0,              0.6433,               0.515,              0.5197,             0.21771,             0.04558,           0.0057419,                   0,           0.0041585,           0.0041585,           0.0041585
                  36,            0.042143,           0.0065483,                   0,             0.68405,             0.52017,             0.55479,             0.23244,            0.046035,           0.0055493,                   0,           0.0041338,           0.0041338,           0.0041338
                  37,            0.041903,           0.0064021,                   0,             0.64321,              0.5552,             0.55507,              0.2278,            0.045969,           0.0055567,                   0,            0.004109,            0.004109,            0.004109
                  38,            0.041632,           0.0064027,                   0,             0.61087,             0.53185,             0.52012,             0.21783,            0.045986,           0.0058894,                   0,           0.0040843,           0.0040843,           0.0040843
                  39,             0.04125,           0.0064202,                   0,             0.71764,             0.54232,             0.55248,             0.22161,            0.045879,           0.0054465,                   0,           0.0040595,           0.0040595,           0.0040595
                  40,            0.041675,           0.0063844,                   0,             0.68162,             0.54352,             0.55509,             0.22472,            0.046051,           0.0053975,                   0,           0.0040348,           0.0040348,           0.0040348
                  41,            0.041736,           0.0063878,                   0,             0.66855,             0.52888,              0.5376,             0.21843,            0.045145,           0.0057529,                   0,             0.00401,             0.00401,             0.00401
                  42,            0.041561,           0.0062535,                   0,             0.64362,             0.54066,             0.54829,             0.22172,            0.044822,           0.0054552,                   0,           0.0039853,           0.0039853,           0.0039853
                  43,            0.041521,           0.0063887,                   0,             0.62913,             0.55945,              0.5424,             0.22212,            0.046017,           0.0055549,                   0,           0.0039605,           0.0039605,           0.0039605
                  44,            0.040656,           0.0062282,                   0,             0.64508,             0.53079,             0.52967,             0.21452,            0.046566,           0.0055049,                   0,           0.0039358,           0.0039358,           0.0039358
                  45,            0.041044,           0.0061726,                   0,             0.63996,             0.54246,             0.54753,             0.22395,            0.046147,           0.0055493,                   0,            0.003911,            0.003911,            0.003911
                  46,            0.040077,           0.0061373,                   0,             0.67726,             0.54131,             0.57167,             0.23312,            0.045329,           0.0054209,                   0,           0.0038862,           0.0038862,           0.0038862
                  47,            0.040437,             0.00625,                   0,             0.69646,             0.53609,             0.56624,             0.23569,            0.045579,           0.0053222,                   0,           0.0038615,           0.0038615,           0.0038615
                  48,            0.040881,           0.0063675,                   0,             0.59878,             0.56369,             0.52478,             0.21311,            0.045676,           0.0054721,                   0,           0.0038367,           0.0038367,           0.0038367
                  49,            0.040248,           0.0061611,                   0,             0.67298,             0.57749,             0.57854,             0.23838,            0.045586,           0.0052238,                   0,            0.003812,            0.003812,            0.003812
                  50,            0.039953,           0.0060908,                   0,             0.70447,             0.55732,             0.59135,             0.25111,             0.04484,           0.0052903,                   0,           0.0037872,           0.0037872,           0.0037872
                  51,            0.040437,           0.0060937,                   0,             0.66514,             0.56582,             0.55057,             0.22457,            0.045845,           0.0053972,                   0,           0.0037625,           0.0037625,           0.0037625
                  52,            0.040459,           0.0060718,                   0,             0.71013,             0.56051,             0.58839,             0.24255,            0.044471,           0.0052799,                   0,           0.0037378,           0.0037378,           0.0037378
                  53,            0.040151,           0.0061284,                   0,             0.68747,               0.569,             0.57916,             0.24009,            0.044462,           0.0052879,                   0,            0.003713,            0.003713,            0.003713
                  54,            0.039896,           0.0061928,                   0,             0.69475,               0.569,              0.5782,             0.24262,            0.045066,           0.0052489,                   0,           0.0036883,           0.0036883,           0.0036883
                  55,            0.039789,           0.0060533,                   0,             0.70548,             0.54777,             0.58761,             0.24224,            0.045717,           0.0052425,                   0,           0.0036635,           0.0036635,           0.0036635
                  56,            0.039418,           0.0060732,                   0,             0.69002,             0.57431,             0.58499,             0.24648,            0.044902,           0.0051594,                   0,           0.0036388,           0.0036388,           0.0036388
                  57,            0.039034,           0.0060128,                   0,             0.72011,             0.58386,             0.60343,             0.24789,            0.044518,           0.0051536,                   0,            0.003614,            0.003614,            0.003614
                  58,            0.038337,           0.0059401,                   0,             0.70201,             0.60616,             0.59088,             0.24555,            0.045705,           0.0052729,                   0,           0.0035893,           0.0035893,           0.0035893
                  59,            0.038964,           0.0060017,                   0,              0.7473,             0.58078,             0.59295,             0.25361,             0.04482,           0.0051356,                   0,           0.0035645,           0.0035645,           0.0035645
                  60,            0.038745,           0.0060978,                   0,             0.70999,             0.55877,             0.58762,             0.25028,            0.045234,           0.0051833,                   0,           0.0035398,           0.0035398,           0.0035398
                  61,            0.038643,           0.0058984,                   0,             0.69447,             0.58705,             0.61106,             0.26512,            0.043879,           0.0051918,                   0,            0.003515,            0.003515,            0.003515
                  62,            0.038998,           0.0059191,                   0,             0.69389,             0.57325,             0.59564,             0.24963,            0.045593,           0.0052362,                   0,           0.0034903,           0.0034903,           0.0034903
                  63,            0.038721,           0.0059542,                   0,             0.72825,             0.57113,             0.59412,             0.25529,            0.045173,            0.005127,                   0,           0.0034655,           0.0034655,           0.0034655
                  64,            0.039037,           0.0058025,                   0,             0.67995,             0.57219,             0.57632,             0.25007,            0.045371,            0.005139,                   0,           0.0034408,           0.0034408,           0.0034408
                  65,            0.038353,           0.0058466,                   0,             0.68061,             0.57006,             0.56305,             0.24303,            0.045344,           0.0052928,                   0,            0.003416,            0.003416,            0.003416
                  66,            0.038469,           0.0058444,                   0,             0.71125,             0.57962,             0.57903,             0.24864,            0.044403,           0.0051862,                   0,           0.0033913,           0.0033913,           0.0033913
                  67,            0.038033,           0.0058445,                   0,             0.70806,             0.56386,             0.57567,             0.23899,            0.044978,           0.0052495,                   0,           0.0033665,           0.0033665,           0.0033665
                  68,             0.03796,           0.0057317,                   0,             0.72939,             0.57113,              0.5958,             0.25631,             0.04444,           0.0051417,                   0,           0.0033418,           0.0033418,           0.0033418
                  69,            0.038488,           0.0059597,                   0,             0.72377,             0.57856,             0.61027,             0.26084,            0.045259,           0.0051286,                   0,            0.003317,            0.003317,            0.003317
                  70,            0.037964,           0.0057918,                   0,             0.70744,              0.5596,              0.5971,              0.2598,            0.045355,            0.005163,                   0,           0.0032923,           0.0032923,           0.0032923
                  71,             0.03797,           0.0057628,                   0,             0.70107,              0.5913,             0.60646,             0.25789,            0.045276,           0.0050916,                   0,           0.0032675,           0.0032675,           0.0032675
                  72,            0.037688,           0.0058156,                   0,             0.68522,             0.58811,             0.59686,             0.25696,            0.045107,           0.0050741,                   0,           0.0032428,           0.0032428,           0.0032428
                  73,            0.037565,           0.0057564,                   0,             0.71191,             0.56663,             0.59601,             0.25209,             0.04453,           0.0050987,                   0,            0.003218,            0.003218,            0.003218
                  74,            0.037842,           0.0058157,                   0,              0.6764,             0.59023,             0.60711,             0.26012,            0.044481,           0.0051425,                   0,           0.0031933,           0.0031933,           0.0031933
                  75,            0.037466,           0.0057285,                   0,             0.71565,             0.60934,             0.62314,             0.26503,            0.044251,           0.0051112,                   0,           0.0031685,           0.0031685,           0.0031685
                  76,            0.037287,           0.0057035,                   0,             0.66198,             0.59554,             0.58974,             0.25211,            0.044339,           0.0051645,                   0,           0.0031438,           0.0031438,           0.0031438
                  77,            0.036773,            0.005656,                   0,             0.75115,             0.56075,             0.61241,             0.26316,            0.044415,           0.0051265,                   0,            0.003119,            0.003119,            0.003119
                  78,            0.036722,           0.0057423,                   0,             0.71814,             0.57537,             0.60384,             0.26028,            0.044776,           0.0052256,                   0,           0.0030943,           0.0030943,           0.0030943
                  79,            0.037045,           0.0057571,                   0,             0.74638,             0.57537,             0.62282,             0.26877,             0.04427,           0.0050882,                   0,           0.0030695,           0.0030695,           0.0030695
                  80,            0.036455,           0.0056577,                   0,             0.69688,             0.58705,             0.59936,             0.25676,            0.044182,           0.0051486,                   0,           0.0030448,           0.0030448,           0.0030448
                  81,            0.036488,           0.0057112,                   0,             0.71623,             0.58917,              0.5985,             0.25349,            0.044328,           0.0050822,                   0,             0.00302,             0.00302,             0.00302
                  82,            0.036959,           0.0056594,                   0,             0.69703,             0.60297,             0.60348,             0.26064,            0.043593,           0.0050179,                   0,           0.0029953,           0.0029953,           0.0029953
                  83,            0.036533,           0.0056162,                   0,             0.72166,             0.60002,             0.61221,               0.268,            0.043721,           0.0049882,                   0,           0.0029705,           0.0029705,           0.0029705
                  84,            0.036283,           0.0055659,                   0,             0.70972,             0.59437,             0.59917,             0.26018,            0.044308,           0.0051006,                   0,           0.0029458,           0.0029458,           0.0029458
                  85,            0.036165,           0.0055685,                   0,             0.69676,             0.59554,             0.58984,             0.25932,            0.044564,           0.0051251,                   0,            0.002921,            0.002921,            0.002921
                  86,            0.036524,           0.0056177,                   0,             0.71365,             0.59873,             0.60906,             0.26573,            0.044568,           0.0050105,                   0,           0.0028962,           0.0028962,           0.0028962
                  87,            0.036532,           0.0054648,                   0,             0.72465,             0.58386,              0.6052,             0.26572,            0.044449,           0.0050009,                   0,           0.0028715,           0.0028715,           0.0028715
                  88,            0.035874,           0.0054379,                   0,             0.70428,             0.59236,             0.60642,             0.26165,            0.044506,           0.0050501,                   0,           0.0028467,           0.0028467,           0.0028467
                  89,            0.036221,           0.0055175,                   0,             0.70365,             0.59236,             0.60541,             0.25898,            0.044454,           0.0051143,                   0,            0.002822,            0.002822,            0.002822
                  90,            0.036312,            0.005552,                   0,             0.72515,             0.58255,             0.60656,             0.26079,            0.044799,           0.0051135,                   0,           0.0027972,           0.0027972,           0.0027972
                  91,            0.035724,           0.0055205,                   0,              0.7302,             0.58325,             0.60969,             0.26434,            0.044628,           0.0050763,                   0,           0.0027725,           0.0027725,           0.0027725
                  92,            0.036062,           0.0055889,                   0,             0.71071,             0.58917,             0.60366,             0.25876,            0.044879,           0.0051269,                   0,           0.0027477,           0.0027477,           0.0027477
                  93,             0.03608,           0.0054216,                   0,             0.68187,             0.58068,             0.59002,              0.2518,            0.044802,           0.0051664,                   0,            0.002723,            0.002723,            0.002723
                  94,            0.035596,           0.0054241,                   0,             0.65781,             0.61677,             0.59988,             0.25536,            0.044902,           0.0051195,                   0,           0.0026982,           0.0026982,           0.0026982
                  95,            0.034968,           0.0053598,                   0,             0.69585,             0.57325,              0.5954,             0.25549,            0.045029,           0.0051347,                   0,           0.0026735,           0.0026735,           0.0026735
                  96,            0.035778,           0.0054144,                   0,             0.69066,              0.5966,             0.59711,             0.25879,            0.044877,           0.0050759,                   0,           0.0026488,           0.0026488,           0.0026488
                  97,            0.035508,           0.0054684,                   0,             0.72456,             0.57643,             0.60153,             0.26013,             0.04485,           0.0050293,                   0,            0.002624,            0.002624,            0.002624
                  98,            0.035292,            0.005511,                   0,             0.71364,             0.58386,             0.61208,             0.26332,            0.044849,           0.0050108,                   0,           0.0025993,           0.0025993,           0.0025993
                  99,            0.035323,           0.0054241,                   0,              0.7123,             0.59236,             0.60703,             0.26448,            0.044794,           0.0050428,                   0,           0.0025745,           0.0025745,           0.0025745
                 100,            0.035057,           0.0053739,                   0,             0.72599,             0.58599,             0.60315,             0.26241,            0.044862,           0.0050755,                   0,           0.0025497,           0.0025497,           0.0025497
                 101,            0.035451,           0.0054255,                   0,             0.71354,             0.59448,             0.60087,             0.26064,            0.044855,           0.0050909,                   0,            0.002525,            0.002525,            0.002525
                 102,             0.03526,           0.0054447,                   0,             0.72991,             0.58811,             0.59984,             0.25938,            0.044899,           0.0051047,                   0,           0.0025002,           0.0025002,           0.0025002
                 103,            0.035144,           0.0054688,                   0,             0.72422,             0.58823,             0.60991,             0.26392,            0.044778,           0.0050798,                   0,           0.0024755,           0.0024755,           0.0024755
                 104,            0.035182,           0.0052881,                   0,             0.73792,             0.58599,             0.60932,             0.26269,            0.044481,           0.0050756,                   0,           0.0024507,           0.0024507,           0.0024507
                 105,            0.035059,           0.0054403,                   0,             0.77363,             0.56961,             0.61298,             0.26522,            0.044429,           0.0050612,                   0,            0.002426,            0.002426,            0.002426
                 106,            0.035016,           0.0053688,                   0,             0.71911,             0.60722,             0.61298,             0.26887,            0.044387,           0.0050471,                   0,           0.0024013,           0.0024013,           0.0024013
                 107,            0.034207,           0.0052268,                   0,             0.71982,             0.61146,             0.61361,              0.2676,            0.044341,           0.0050377,                   0,           0.0023765,           0.0023765,           0.0023765
                 108,            0.034255,           0.0053536,                   0,             0.72321,             0.60189,             0.60979,              0.2673,            0.044476,           0.0050387,                   0,           0.0023518,           0.0023518,           0.0023518
                 109,            0.034433,           0.0052645,                   0,             0.71989,              0.5913,             0.60879,             0.26628,            0.044593,             0.00506,                   0,            0.002327,            0.002327,            0.002327
                 110,            0.034174,           0.0052112,                   0,              0.7202,             0.58202,             0.60303,             0.26263,             0.04469,           0.0050913,                   0,           0.0023023,           0.0023023,           0.0023023
                 111,             0.03468,           0.0051819,                   0,              0.7253,             0.58019,             0.60511,             0.26347,            0.044673,           0.0051051,                   0,           0.0022775,           0.0022775,           0.0022775
                 112,            0.034084,           0.0052695,                   0,             0.72621,             0.59412,             0.61103,             0.26589,            0.044774,           0.0050975,                   0,           0.0022527,           0.0022527,           0.0022527
                 113,            0.034568,            0.005237,                   0,             0.72479,              0.5927,             0.61043,             0.26633,            0.044714,           0.0050721,                   0,            0.002228,            0.002228,            0.002228
                 114,            0.034108,           0.0052065,                   0,             0.73976,              0.5966,             0.61901,             0.26778,            0.044671,           0.0050492,                   0,           0.0022033,           0.0022033,           0.0022033
                 115,            0.033867,           0.0052132,                   0,             0.75142,             0.59687,             0.61982,             0.26638,            0.044735,             0.00504,                   0,           0.0021785,           0.0021785,           0.0021785
                 116,            0.034064,           0.0052366,                   0,             0.72402,             0.60155,               0.614,             0.26604,            0.044672,           0.0050445,                   0,           0.0021538,           0.0021538,           0.0021538
                 117,            0.033574,           0.0051581,                   0,             0.71979,              0.6051,             0.60974,             0.26456,            0.044722,           0.0050682,                   0,            0.002129,            0.002129,            0.002129
                 118,            0.033702,            0.005185,                   0,             0.71046,             0.60433,             0.60479,             0.26133,            0.044868,           0.0050976,                   0,           0.0021043,           0.0021043,           0.0021043
                 119,             0.03361,           0.0051802,                   0,             0.70989,              0.6051,             0.60104,             0.26037,            0.044853,           0.0051131,                   0,           0.0020795,           0.0020795,           0.0020795
                 120,            0.033735,            0.005182,                   0,             0.70314,             0.59592,             0.59955,             0.26104,            0.044922,           0.0051322,                   0,           0.0020548,           0.0020548,           0.0020548
                 121,            0.033355,           0.0050535,                   0,             0.70922,              0.5955,             0.59684,             0.25964,            0.044961,           0.0051566,                   0,             0.00203,             0.00203,             0.00203
                 122,            0.033397,           0.0051256,                   0,             0.72863,             0.59003,             0.59972,              0.2609,            0.044976,           0.0051527,                   0,           0.0020053,           0.0020053,           0.0020053
                 123,            0.033494,           0.0051329,                   0,             0.73738,             0.58386,             0.59888,             0.26206,            0.044947,           0.0051716,                   0,           0.0019805,           0.0019805,           0.0019805
                 124,            0.033016,           0.0050656,                   0,             0.72538,             0.58705,             0.60129,             0.26067,            0.044987,           0.0051664,                   0,           0.0019558,           0.0019558,           0.0019558
                 125,            0.032864,           0.0050557,                   0,             0.72175,             0.59236,             0.60258,              0.2613,            0.045114,           0.0051719,                   0,            0.001931,            0.001931,            0.001931
                 126,            0.032992,           0.0050397,                   0,             0.72293,             0.59274,             0.60334,             0.26027,            0.045165,           0.0051757,                   0,           0.0019062,           0.0019062,           0.0019062
                 127,            0.032661,           0.0050613,                   0,             0.72918,             0.59236,             0.60372,             0.26125,            0.045179,           0.0051719,                   0,           0.0018815,           0.0018815,           0.0018815
                 128,            0.032735,            0.005065,                   0,             0.73002,             0.59023,             0.60105,             0.26159,            0.045229,           0.0051766,                   0,           0.0018568,           0.0018568,           0.0018568
                 129,             0.03349,           0.0051069,                   0,             0.73548,              0.5913,             0.60367,             0.26037,            0.045394,           0.0051774,                   0,            0.001832,            0.001832,            0.001832
